,0,1,2,3
406,282419,2018/10/19 20:00,1.38538,26.9767
407,282521,2018/10/19 20:00,2.10758,15.8795
408,282400,2018/10/19 20:00,1.23802,33.8978
409,281893,2018/10/19 20:00,1.19173,33.923
410,283510,2018/10/19 20:00,1.20569,36.3717
411,282985,2018/10/19 20:00,1.77902,24.1049
412,282010,2018/10/19 20:00,1.69182,30.4522
413,281875,2018/10/19 20:00,1.54057,27.2048
414,281913,2018/10/19 20:00,1.58646,27.1094
415,283492,2018/10/19 20:00,1.60106,35.9085
416,282030,2018/10/19 20:00,1.67381,20.3064
417,281895,2018/10/19 20:00,1.82058,19.3926
418,283417,2018/10/19 20:00,1.63687,27.7427
419,283512,2018/10/19 20:00,1.95133,48.1292
420,282250,2018/10/19 20:00,1.51719,23.0475
421,282840,2018/10/19 20:00,1.46504,30.407
422,282012,2018/10/19 20:00,1.3655,33.219
423,281877,2018/10/19 20:00,1.48047,28.637
424,283494,2018/10/19 20:00,1.57113,28.6516
425,282841,2018/10/19 20:00,1.51114,30.9746
426,283313,2018/10/19 20:00,2.64177,14.6248
427,282032,2018/10/19 20:00,1.49758,25.6694
428,281897,2018/10/19 20:00,1.86909,18.5296
429,283514,2018/10/19 20:00,1.49172,29.8144
430,282014,2018/10/19 20:00,1.49074,32.0942
431,281879,2018/10/19 20:00,1.70483,24.9785
432,283496,2018/10/19 20:00,1.74409,25.1628
433,282387,2018/10/19 20:00,1.30184,29.0052
434,282804,2018/10/19 20:00,1.53361,27.2987
435,282034,2018/10/19 20:00,1.6371,24.1972
436,281899,2018/10/19 20:00,1.80667,22.4206
437,282886,2018/10/19 20:00,1.4405,31.3451
438,283516,2018/10/19 20:00,1.34004,37.6946
439,282016,2018/10/19 20:00,1.29482,37.7918
440,281881,2018/10/19 20:00,1.54716,25.1546
441,282626,2018/10/19 20:00,1.29416,34.6579
442,282927,2018/10/19 20:00,1.18977,50.1604
443,283498,2018/10/19 20:00,1.44899,29.7523
444,281998,2018/10/19 20:00,1.74582,21.434
445,282036,2018/10/19 20:00,1.63124,24.1801
446,282908,2018/10/19 20:00,1.87057,17.4532
447,283159,2018/10/19 20:00,1.22654,42.3698
448,281901,2018/10/19 20:00,1.4427,28.1476
449,283518,2018/10/19 20:00,1.31682,37.8004
450,282018,2018/10/19 20:00,1.41247,29.4145
451,283381,2018/10/19 20:00,1.43212,31.6255
452,281883,2018/10/19 20:00,1.6833,20.4952
453,283500,2018/10/19 20:00,1.39589,32.6263
454,282847,2018/10/19 20:00,1.52918,24.2188
455,282000,2018/10/19 20:00,2.01962,17.9318
456,283221,2018/10/19 20:00,1.13428,45.8503
457,281865,2018/10/19 20:00,1.54073,32.4612
458,281903,2018/10/19 20:00,1.27605,36.0272
459,282392,2018/10/19 20:00,1.44498,27.8055
460,282020,2018/10/19 20:00,1.3958,32.2733
461,283162,2018/10/19 20:00,1.05404,50.3713
462,281885,2018/10/19 20:00,1.533,26.5565
463,283502,2018/10/19 20:00,1.54086,28.5445
464,283098,2018/10/19 20:00,0.858892,58.9977
465,282002,2018/10/19 20:00,1.83919,19.1549
466,282892,2018/10/19 20:00,1.10118,45.4901
467,281963,2018/10/19 20:00,1.36649,27.8697
468,281867,2018/10/19 20:00,1.73831,27.4193
469,282100,2018/10/19 20:00,1.67151,25.9776
470,281905,2018/10/19 20:00,1.28224,34.7326
471,282022,2018/10/19 20:00,5.34191,7.27069
472,282831,2018/10/19 20:00,1.58386,26.7084
473,281887,2018/10/19 20:00,2.38528,14.3389
474,283504,2018/10/19 20:00,1.51998,25.729
475,282004,2018/10/19 20:00,1.82712,21.6967
476,281869,2018/10/19 20:00,1.68445,29.984
477,282734,2018/10/19 20:00,1.9263,17.4382
478,281907,2018/10/19 20:00,1.42725,34.2715
479,282024,2018/10/19 20:00,1.59258,26.8127
480,281889,2018/10/19 20:00,2.4611,20.0065
481,283506,2018/10/19 20:00,1.50109,29.0339
482,282006,2018/10/19 20:00,2.18508,17.3394
483,281871,2018/10/19 20:00,1.59414,28.8799
484,281909,2018/10/19 20:00,1.3347,33.6366
485,283488,2018/10/19 20:00,1.56466,26.907
486,282026,2018/10/19 20:00,1.32902,29.4895
487,281891,2018/10/19 20:00,1.28615,35.7574
488,283508,2018/10/19 20:00,1.50955,25.6735
489,282439,2018/10/19 20:00,2.03169,21.7805
490,282008,2018/10/19 20:00,1.74731,23.362
491,281873,2018/10/19 20:00,1.46872,25.9243
492,281911,2018/10/19 20:00,1.41274,31.0456
493,283490,2018/10/19 20:00,1.41541,39.1959
494,282227,2018/10/19 20:00,1.82329,20.3119
495,282028,2018/10/19 20:00,1.59989,23.438
496,282580,2018/10/19 20:00,1.39133,25.8043
497,282900,2018/10/19 20:00,1.17113,36.2023
498,283415,2018/10/19 20:00,1.17194,85.231
499,281971,2018/10/19 20:00,1.2881,34.9034
500,283107,2018/10/19 20:00,1.29991,36.9899
501,282208,2018/10/19 20:00,1.38241,25.1405
502,282779,2018/10/19 20:00,1.58808,27.6471
503,283331,2018/10/19 20:00,2.12541,14.8843
504,282402,2018/10/19 20:00,1.73755,19.286
505,282760,2018/10/19 20:00,1.35468,36.9606
506,283531,2018/10/19 20:00,1.21349,36.8183
507,282151,2018/10/19 20:00,1.23808,20.6646
508,282582,2018/10/19 20:00,1.69798,22.1104
509,283109,2018/10/19 20:00,1.48397,32.9912
510,283174,2018/10/19 20:00,1.5303,34.3534
511,282781,2018/10/19 20:00,1.12362,46.8498
512,282404,2018/10/19 20:00,1.68763,46.9664
513,283533,2018/10/19 20:00,1.87146,37.795
514,282584,2018/10/19 20:00,1.95922,20.2743
515,283111,2018/10/19 20:00,1.42506,34.1794
516,283176,2018/10/19 20:00,1.37956,32.135
517,283236,2018/10/19 20:00,1.24086,44.9504
518,282292,2018/10/19 20:00,1.93527,19.6802
519,282406,2018/10/19 20:00,2.99324,26.3422
520,282586,2018/10/19 20:00,1.57998,26.273
521,282948,2018/10/19 20:00,1.15479,43.1237
522,283113,2018/10/19 20:00,1.25434,34.0018
523,282294,2018/10/19 20:00,1.65836,21.8485
524,282408,2018/10/19 20:00,1.31267,63.437
525,282845,2018/10/19 20:00,1.18789,32.4271
526,283318,2018/10/19 20:00,1.55575,26.885
527,282588,2018/10/19 20:00,1.67582,24.3759
528,282511,2018/10/19 20:00,1.65406,23.1321
529,282276,2018/10/19 20:00,1.71115,20.6887
530,282767,2018/10/19 20:00,1.2061,36.7733
531,283115,2018/10/19 20:00,1.20094,50.6957
532,283298,2018/10/19 20:00,1.23357,33.0807
533,282550,2018/10/19 20:00,2.22275,16.1176
534,282341,2018/10/19 20:00,2.77871,15.1485
